FID,STATE,FIPS,TRT,TRTKEY,CTTRTKEY,FENAME,COLOR,anglo,asian,hisp,total,vap,black,bh,nanglo,anglovap,hispvap,bhvap,blackvap,asianvap,nanglovap,Shape_Leng,Shape_Ar_1
0,48,001,950100,1,001950100,ANDERSON,2,3752,25,310,4641,3686,375,677,889,3048,195,477,285,22,638,111268.636261000006925,489170700.501999974250793
1,48,001,950401,2,001950401,ANDERSON,2,1975,24,1610,5782,5732,2176,3772,3807,1936,1607,3764,2171,21,3796,24074.737081999999646,16737648.233899999409914
2,48,001,950402,3,001950402,ANDERSON,2,2180,24,2002,7115,7105,2926,4910,4935,2180,1995,4901,2924,24,4925,61742.675940100001753,73454930.463400006294250
3,48,001,950500,4,001950500,ANDERSON,2,1886,58,1631,4479,3286,878,2463,2593,1571,1039,1606,592,39,1715,26759.280084499998338,23134869.786299999803305
4,48,001,950600,5,001950600,ANDERSON,2,2772,73,1369,6036,4380,1749,3067,3264,2187,845,2040,1208,52,2193,29424.475861800001439,20896182.666600000113249
5,48,001,950700,6,001950700,ANDERSON,2,787,21,738,2564,1948,1000,1718,1777,716,480,1185,718,14,1232,13525.916017600000487,6699649.934580000117421
6,48,001,950800,7,001950800,ANDERSON,2,2945,85,1064,5427,3968,1245,2270,2482,2351,626,1443,832,67,1617,17551.046458900000289,10477657.095200000330806
7,48,001,950901,8,001950901,ANDERSON,2,3566,104,858,5281,4194,645,1479,1715,2937,606,1079,482,70,1257,149246.655732999992324,293722452.699000000953674
8,48,001,950902,9,001950902,ANDERSON,2,3718,42,693,5090,4076,540,1220,1372,3130,439,831,393,25,946,138848.118210999993607,444480228.878000020980835
9,48,001,951001,10,001951001,ANDERSON,2,3121,11,242,3618,2832,133,370,497,2497,148,230,82,6,335,104944.889676000006148,360234069.774999976158142
10,48,001,951002,11,001951002,ANDERSON,2,2854,16,298,3501,2645,237,518,647,2214,171,333,171,13,431,95741.346283100006985,260549188.134999990463257
11,48,001,951100,12,001951100,ANDERSON,2,3542,60,296,4388,3529,349,643,846,2900,199,485,288,43,629,173448.465788000001339,780908593.050999999046326
12,48,003,950100,13,003950100,ANDREWS,4,1283,32,1005,2405,1636,25,1020,1122,954,600,611,13,21,682,247104.207664999994449,2613934858.960000038146973
13,48,003,950200,14,003950200,ANDREWS,4,3291,61,4045,7710,5425,171,4183,4419,2548,2619,2717,116,36,2877,11939.142816499999753,5098897.982450000010431
14,48,003,950300,15,003950300,ANDREWS,4,1282,38,3179,4668,3244,132,3276,3386,978,2112,2187,89,29,2266,11032.816022000000885,5184467.902099999599159
15,48,003,950400,16,003950400,ANDREWS,4,1549,22,2171,3827,2643,48,2204,2278,1156,1400,1427,29,13,1487,162401.092250999994576,1248516037.259999990463257
16,48,005,000102,17,005000102,ANGELINA,3,3818,62,745,4983,3542,229,970,1165,2826,446,575,132,40,716,89578.962239300002693,158145287.717999994754791
17,48,005,000103,18,005000103,ANGELINA,3,2404,18,782,3440,2696,239,965,1036,1924,587,725,193,10,772,71480.264829699997790,125060384.002000004053116
18,48,005,000104,19,005000104,ANGELINA,3,2456,18,350,2974,2252,90,431,518,1917,220,276,62,16,335,56608.361513800002285,129996303.908000007271767
19,48,005,000201,20,005000201,ANGELINA,3,2138,36,639,3138,2387,261,897,1000,1746,392,555,163,34,641,49273.090933400002541,41204176.371899999678135
20,48,005,000202,21,005000202,ANGELINA,3,1987,26,1045,3558,2654,422,1463,1571,1592,658,982,326,22,1062,60096.552675699997053,88308670.441499993205070
21,48,005,000301,22,005000301,ANGELINA,3,3518,48,1002,5413,3968,741,1719,1895,2740,602,1101,499,26,1228,42641.249495199997909,36635093.348899997770786
22,48,005,000302,23,005000302,ANGELINA,3,3425,94,1081,5319,3885,602,1661,1894,2669,674,1044,379,68,1216,65028.642473599997174,58218133.750200003385544
23,48,005,000400,24,005000400,ANGELINA,3,2102,97,1490,5361,4044,1609,3069,3259,1799,968,2088,1128,76,2245,18581.803848299998208,12643358.231699999421835
24,48,005,000500,25,005000500,ANGELINA,3,447,14,885,3640,2680,2295,3149,3193,358,545,2285,1754,9,2322,21975.187930100000813,15213188.049799999222159
25,48,005,000600,26,005000600,ANGELINA,3,1213,43,2853,5836,4178,1705,4533,4623,1029,1881,3093,1224,31,3149,24102.088498199998867,15271591.619999999180436
26,48,005,000700,27,005000700,ANGELINA,3,672,38,1538,3070,2191,812,2321,2398,557,1016,1571,563,27,1634,8227.273197700000310,2860375.522520000115037
27,48,005,000800,28,005000800,ANGELINA,3,3179,164,1335,6165,4651,1406,2702,2986,2670,856,1754,909,126,1981,23245.941216300001543,19018155.403900001198053
28,48,005,000902,29,005000902,ANGELINA,3,2392,209,487,3731,3047,586,1059,1339,2038,350,793,449,163,1009,17367.907713299999159,10999917.434599999338388
29,48,005,000903,30,005000903,ANGELINA,3,2072,156,371,3245,2557,554,917,1173,1711,242,643,404,117,846,9659.878734969999641,5165412.143620000220835
30,48,005,000904,31,005000904,ANGELINA,3,1606,48,779,3269,2395,810,1556,1663,1324,479,1000,524,27,1071,8898.226291490000222,4674824.010579999536276
31,48,005,001001,32,005001001,ANGELINA,3,1920,19,2159,5043,3938,928,3060,3123,1605,1555,2284,737,11,2333,59779.550147299996752,84977952.506300002336502
32,48,005,001002,33,005001002,ANGELINA,3,2346,31,1237,4035,2967,364,1579,1689,1859,806,1026,221,22,1108,89803.314928299994790,225766294.983000010251999
33,48,005,001101,34,005001101,ANGELINA,3,2776,11,345,3396,2606,216,554,620,2193,218,350,133,10,413,46341.588603600001079,80787628.818599998950958
34,48,005,001102,35,005001102,ANGELINA,3,2528,14,296,3056,2393,109,403,528,2030,196,275,80,9,363,90739.878113500002655,181717175.918000012636185
35,48,005,001200,36,005001200,ANGELINA,3,2348,5,94,2594,2110,40,128,246,1941,51,76,26,3,169,139998.306665000010980,495854415.241999983787537
36,48,005,001300,37,005001300,ANGELINA,3,4623,18,219,5129,3917,97,312,506,3576,130,191,62,10,341,167430.533403000008548,437719109.574999988079071
37,48,007,950101,38,007950101,ARANSAS,4,1030,20,180,1300,1193,12,183,270,959,157,159,9,14,234,168467.140918999997666,788936982.529999971389771
38,48,007,950102,39,007950102,ARANSAS,4,2519,191,540,3424,2895,41,575,905,2225,381,398,18,146,670,49414.470633600001747,100689699.322999998927116
39,48,007,950103,40,007950103,ARANSAS,4,959,46,204,1257,1112,13,211,298,870,163,165,3,43,242,40960.775124200001301,50926662.179099999368191
40,48,007,950200,41,007950200,ARANSAS,4,826,7,133,1000,899,6,139,174,757,105,110,5,6,142,19495.898341500000242,20266131.300799999386072
41,48,007,950301,42,007950301,ARANSAS,4,2079,95,1338,3734,3051,93,1421,1655,1803,987,1050,70,81,1248,14533.064783100000568,10601098.510500000789762
42,48,007,950302,43,007950302,ARANSAS,4,2213,146,310,2768,2407,31,335,555,1993,216,236,22,103,414,10252.938315800000055,6193881.741999999620020
43,48,007,950400,44,007950400,ARANSAS,4,1843,67,1276,3349,2601,90,1347,1506,1547,867,910,49,57,1054,14804.660960799999884,6033245.162449999712408
44,48,007,950501,45,007950501,ARANSAS,4,1625,40,803,2614,2083,24,825,989,1392,561,577,17,17,691,64913.768673099999432,137511026.108999997377396
45,48,007,950502,46,007950502,ARANSAS,4,1041,13,602,1761,1414,46,645,720,883,440,471,31,7,531,19642.304615799999738,18633779.881999999284744
46,48,007,950503,47,007950503,ARANSAS,4,1681,30,772,2623,2161,38,805,942,1506,520,546,29,21,655,52493.612978999997722,65393138.341200001537800
47,48,007,990000,48,007990000,ARANSAS,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72935.375678099997458,160343342.257999986410141
48,48,009,020100,49,009020100,ARCHER,3,2579,40,172,2897,2273,30,198,318,2054,115,128,15,29,219,72878.680659799996647,183043296.926999986171722
49,48,009,020200,50,009020200,ARCHER,3,2147,20,143,2442,1888,20,158,295,1703,88,97,12,10,185,261201.789971999998670,1356126992.619999885559082
50,48,009,020300,51,009020300,ARCHER,3,2630,14,427,3221,2451,56,475,591,2054,271,303,37,9,397,181767.017209000012372,852203178.914999961853027
51,48,011,950100,52,011950100,ARMSTRONG,3,1593,28,144,1848,1427,34,162,255,1258,85,94,17,19,169,194691.746327000000747,2367077763.639999866485596
52,48,013,960101,53,013960101,ATASCOSA,5,1447,18,1898,3474,2569,28,1918,2027,1141,1339,1355,20,9,1428,55382.218218299996806,159919630.543999999761581
53,48,013,960102,54,013960102,ATASCOSA,5,1384,46,2236,3771,2859,58,2275,2387,1132,1608,1643,50,32,1727,143834.320302000007359,811623208.131000041961670
54,48,013,960203,55,013960203,ATASCOSA,5,781,40,2013,2906,2145,55,2047,2125,653,1423,1443,30,26,1492,23995.421321800000442,23178940.950899999588728
55,48,013,960204,56,013960204,ATASCOSA,5,1226,23,2755,4153,3063,60,2794,2927,1010,1903,1935,35,17,2053,67897.371817000006558,200749904.580000013113022
56,48,013,960205,57,013960205,ATASCOSA,5,1402,76,4426,6022,4381,102,4482,4620,1145,3075,3117,75,48,3236,76111.032866199995624,189213690.039999991655350
57,48,013,960206,58,013960206,ATASCOSA,5,1177,37,4154,5493,3902,90,4215,4316,946,2840,2885,65,26,2956,79395.951322900000378,133442484.856999993324280
58,48,013,960300,59,013960300,ATASCOSA,5,437,5,2644,3135,2298,34,2666,2698,349,1905,1917,14,3,1949,27005.968090900001698,22584559.572299998253584
59,48,013,960401,60,013960401,ATASCOSA,5,598,15,1726,2391,1744,44,1753,1793,479,1217,1239,30,6,1265,39697.018871000000217,52856888.780900001525879
60,48,013,960403,61,013960403,ATASCOSA,5,1799,30,2746,4747,3456,115,2824,2948,1431,1882,1933,60,23,2025,18464.561469899999793,12787212.458100000396371
61,48,013,960404,62,013960404,ATASCOSA,5,2334,59,1543,4063,3028,57,1591,1729,1871,1031,1057,28,45,1157,38914.734069600002840,44070138.605800002813339
62,48,013,960500,63,013960500,ATASCOSA,5,695,12,1762,2533,1910,33,1791,1838,565,1294,1315,22,6,1345,134919.025596999999834,692114630.894000053405762
63,48,013,960601,64,013960601,ATASCOSA,5,1008,11,1427,2512,1821,25,1447,1504,799,962,978,16,7,1022,71977.733727099999669,124802129.173999994993210
64,48,013,960602,65,013960602,ATASCOSA,5,1778,24,1848,3781,2807,35,1881,2003,1385,1305,1320,17,20,1422,156272.693437999987509,687811164.514000058174133
65,48,015,760100,66,015760100,AUSTIN,4,1334,13,783,2464,1872,312,1072,1130,1086,542,736,208,9,786,73196.849252100000740,177089704.219000011682510
66,48,015,760201,67,015760201,AUSTIN,4,940,23,711,2078,1624,395,1076,1138,783,499,790,302,13,841,58440.592473800003063,74272588.328299999237061
67,48,015,760202,68,015760202,AUSTIN,4,2211,45,1749,4450,3333,406,2108,2239,1797,1176,1440,283,33,1536,53942.592743499997596,80022799.822400003671646
68,48,015,760301,69,015760301,AUSTIN,4,1826,63,662,2773,2149,167,806,947,1514,432,539,114,34,635,53049.674064300001191,105708537.591000005602837
69,48,015,760302,70,015760302,AUSTIN,4,2655,75,1819,5043,3688,407,2181,2388,2123,1169,1401,242,59,1565,95172.059445399994729,257823742.060999989509583
70,48,015,760400,71,015760400,AUSTIN,4,2867,4,360,3505,2866,141,498,638,2410,240,349,109,3,456,108599.407399999996414,495356792.953000009059906
71,48,015,760501,72,015760501,AUSTIN,4,3433,35,657,4543,3618,293,934,1110,2852,421,634,221,31,766,92341.331817500002217,286979870.935000002384186
72,48,015,760502,73,015760502,AUSTIN,4,3214,46,1311,5311,4007,670,1955,2097,2558,878,1342,470,36,1449,101207.104758000001311,216398813.539999991655350
73,48,017,950101,74,017950101,BAILEY,2,1089,13,2803,4002,2813,49,2840,2913,923,1821,1839,21,10,1890,29231.789897300001030,43280489.984399996697903
74,48,017,950102,75,017950102,BAILEY,2,1101,6,1737,2902,2025,42,1760,1801,859,1125,1141,20,0,1166,216769.453747999999905,2096648104.130000114440918
75,48,019,000101,76,019000101,BANDERA,4,3491,49,939,4705,3949,56,992,1214,3030,694,736,43,31,919,93858.462710499996319,227896407.250999987125397
76,48,019,000103,77,019000103,BANDERA,4,2852,36,828,3913,3278,53,874,1061,2476,601,637,43,28,802,81919.689731899998151,230621950.914000004529953
77,48,019,000104,78,019000104,BANDERA,4,1019,16,163,1259,1011,14,176,240,832,121,128,8,13,179,53643.349317000000156,94013367.070800006389618
78,48,019,000200,79,019000200,BANDERA,4,1995,12,301,2394,2063,30,321,399,1767,221,231,11,6,296,153956.830748999986099,1231442192.500000000000000
79,48,019,000301,80,019000301,BANDERA,4,2309,43,761,3304,2717,40,799,995,1963,566,598,33,27,754,52994.064040400000522,91492696.946299999952316
80,48,019,000302,81,019000302,BANDERA,4,2284,32,587,3067,2496,42,628,783,1913,429,451,22,32,583,54792.679486499997438,153508234.784000009298325
81,48,019,000400,82,019000400,BANDERA,4,1645,31,431,2209,1835,35,457,564,1414,316,333,21,21,421,26407.117097999998805,29484560.982900001108646
82,48,021,950101,83,021950101,BASTROP,4,2760,59,2355,5554,4274,232,2582,2794,2344,1558,1742,184,43,1930,82362.619892699993216,203915465.013000011444092
